"deployed"	"individual"	"time"	"device"	"comment"
2008-04-20	23781	"17:00??"	9690	"Sir Track Prox"
2008-04-20	23950	"17:00??"		"Prox øremerke"
2008-04-20	23951	"17:00??"		"Prox øremerke"
2008-04-21	23719	14:55	81310	"Telonics Konv."
2008-04-24	23500	14:20	81307	"Telonics Konv."
2008-04-24	23958	15:45	81311	"Telonics Konv."
2008-04-25	7757	12:20	8575	"Sir Track Prox"
2008-04-25	23966	16:25	9678	"Sir Track Prox"
2008-04-25	23963	12:20		"Prox øremerke"
2008-04-25	23964	12:20		"Prox øremerke"
2008-04-25	23968	16:25		"Prox øremerke"
2008-04-26	23972	16:50	10620	"Sir Track Prox"
2008-04-26	23974	16:50		"Prox øremerke"
2009-04-01	23882	11:40	74772	"Telonics Konv."
2009-04-01	23909	15:05	81316	"Telonics Konv."
2009-04-06	7951	09:45	74775	"Telonics Konv."
2009-04-06	23993	18:35	81313	"Telonics Konv."
2009-04-13	23998	16:00	2177	"Telonics Konv."
2009-04-14	23106	15:00	8569	"Telonics Konv."
2009-04-15	26002	14:45	2185	"Telonics Konv."
2009-04-15	23029	19:00	81864	"Telonics Konv."
2009-04-16	23639	13:45	2169	"Telonics Konv."
2009-04-18	23731	12:50	2175	"Telonics Konv."
2009-04-22	7839	11:30	81867	"Telonics Konv."
2009-04-22	7753	19:30	9694	"Telonics GPS"
2009-04-24	7773	19:40	2172	"Telonics GPS"
2009-04-25	26018	16:20	2170	"Telonics GPS"
2009-04-26	23703	16:30	74776	"Telonics Konv."
2010-04-10	23604		44774	"Telonics Konv."
2010-04-13	26030		44769	"Telonics Konv."
2010-04-13	7773		44773	"Telonics Konv."
2010-04-13	23719		44775	"Telonics Konv."
2010-04-13	23694		44779	"Telonics Konv."
2010-04-16	23992		44770	"Telonics Konv."
2010-04-16	26031		44772	"Telonics Konv."
2010-04-17	26033		44771	"Telonics Konv."
2010-04-18	23425		37171	"Telonics GPS"
2010-04-18	23944		37175	"Telonics GPS"
2011-04-07	23831	18:15	37172	"Telonics GPS"
2011-04-07	23826	13:00	37173	"Telonics GPS"
2011-04-08	23939	14:55	49824	"Telonics GPS"
2011-04-08	23688	12:30	50752	"Telonics GPS"
2011-04-08	23937	19:50	52032	"Telonics GPS"
2011-04-10	26047	16:50	49887	"Telonics GPS"
2011-04-10	26044	14:20	50830	"Telonics GPS"
2011-04-19	26018	15:30	50102	"Telonics GPS"
2011-04-19	26050	11:00	50754	"Telonics GPS"
2011-04-19	26054	19:15	50762	"Telonics GPS"
2011-04-23	23732	8:15	49851	"Telonics GPS"
2011-04-23	23423	16:05	50755	"Telonics GPS"
2011-04-26	23966	17:45	52501	"SirTrack"
2011-04-27	26061	13:15	52498	"SirTrack"
2011-09-10	23903	15:50	30541	"ATS Iridium"
2011-09-10	23939	17:50	31306	"ATS Iridium"
2012-04-04	26068	14:30	52499	"SirTrack GPS"
2012-04-04	26066	9:40	52502	"SirTrack GPS"
2012-04-05	26072	13:30	31316	"ATS Iridium"
2012-04-05	7753	11:00	31321	"ATS Iridium"
2012-04-07	26075	11:00	31303	"ATS Iridium"
2012-04-07	26077	18:15	31311	"ATS Iridium"
2012-04-08	23939	15:10	31306	"ATS Iridium"
2012-04-08	23989	16:30	31312	"ATS Iridium"
2012-04-08	23688	9:40	31318	"ATS Iridium"
2012-04-08	7951	12:15	31324	"ATS Iridium"
2012-04-09	23906	13:15	31309	"ATS Iridium"
2012-04-14	23980	17:00	31310	"ATS Iridium"
2012-04-17	26025	19:55	31313	"ATS Iridium"
2012-04-18	23347	12:00	31305	"ATS Iridium"
2012-04-18	26084	15:30	31307	"ATS Iridium"
2012-04-19	23719	11:45	31304	"ATS Iridium"
2012-04-19	26088	15:15	31317	"ATS Iridium"
2012-04-20	26095	19:05	31314	"ATS Iridium"
2012-04-20	26009	12:10	31315	"ATS Iridium"
2012-04-20	26018	14:50	31319	"ATS Iridium"
2012-04-21	23479	14:00	31308	"ATS Iridium"
2012-04-24	26098	15:00	31322	"ATS Iridium"
2012-04-25	26099	14:00	31320	"ATS Iridium"
2012-04-27	26103	19:00	31323	"ATS Iridium"
2012-04-27	23393	11:45	31325	"ATS Iridium"
2012-04-27	26102	15:45	31327	"ATS Iridium"
2012-09-09	23688	16:00	"iridium"	"ATSIridium"
2012-09-09	23937	14:00	"iridium"	"ATS Iridium"
2012-09-10	26102	18:45	"iridium"	"ATSIridium"
2012-09-12	23703	13:15	"iridium"	"ATSIridium"
2012-09-12	23958	14:50	"iridium"	"ATSIridium"
2012-09-12	23500	17:00	"?"	"?"
2012-09-13	26033		"?"	"?"
2012-09-22	26129	14:40	30535	"ATS Iridium"
2012-09-22	23347	12:15	"iridium"	"ATS Iridium"
2012-09-22	23393	11:00	"iridium"	"ATS Iridium"
2013-04-06	26131	15:00	669448	"Telonics Iridium"
2013-04-06	23980	13:00	669450	"Telonics Iridium"
2013-04-06	26132	17:00	669452	"Telonics Iridium"
2013-04-08	23637	15:15	659123	"Telonics Iridium"
2013-04-09	26135	11:00	666177	"Telonics Iridium"
2013-04-10	26095	10:45	659121	"Telonics Iridium"
2013-04-10	26137	17:00	669539	"Telonics Iridium"
2013-04-11	26141	15:00	659122	"Telonics Iridium"
2013-04-11	26143	18:00	669532	"Telonics Iridium"
2013-04-13	23881	14:25	669536	"Telonics Iridium"
2013-04-14	7951	14:30	669454	"Telonics Iridium"
2013-04-14	23882	15:15	669455	"Telonics Iridium"
2013-04-15	26153	9:15	669533	"Telonics Iridium"
